event_id,case_id,source_id,event_date,date_granularity,event_title,event_summary,event_type,policy_action_type,actor,target_entity,third_party_entity,tech_domain,risk_dimension,direct_impact,indirect_impact,evidence_span,is_key_event,is_turning_point,event_confidence,annotation_status,annotator,reviewer
HW_E11,CASE_HUAWEI_001,SRC_HW_20200820_RULE,2020-08-20 00:00:00,day,Huawei FDP rule further expanded to close loopholes,"BIS further amended the Huawei FDP framework to capture more foreign-produced items tied to Huawei, especially where Huawei is involved as a party to the transaction.",export_control_rule,fdp_rule_update,BIS,Huawei,,semiconductor,technology_access_risk,Broadens the kinds of foreign-made items that require a license when Huawei is involved.,"Increases exposure for foundries, component vendors, and indirect suppliers.","Third, this final rule amends General Prohibition Three, also known as the foreign-produced direct product rule, to further restrict items subject to the EAR involving Huawei.",True,True,0.99,checked,,
HW_E12,CASE_HUAWEI_001,SRC_FCC_20210312_COVERED,2021-03-12 00:00:00,day,FCC Covered List includes Huawei equipment and services,The FCC’s initial Covered List formally identified Huawei equipment and services as posing an unacceptable national-security risk under the Secure Networks Act process.,procurement_ban,screening_list_update,Federal Communications Commission,Huawei,,telecom,market_access_risk,Moves Huawei risk from export controls into U.S. communications market access and network replacement policy.,Creates a domestic U.S. restriction anchor later used by the FCC equipment authorization ban.,"Telecommunications equipment produced or provided by Huawei Technologies Company ... Date of inclusion on Covered List: March 12, 2021.",True,False,0.97,checked,,
HW_E13,CASE_HUAWEI_001,SRC_FCC_20221125_BAN,2022-11-25 00:00:00,day,FCC blocks new authorization of covered Huawei equipment,"The FCC adopted rules prohibiting new equipment authorization for covered equipment, including Huawei products on the Covered List.",procurement_ban,procurement_ban,Federal Communications Commission,Huawei,,telecom,market_access_risk,Prevents new covered Huawei equipment from obtaining FCC authorization for U.S. marketing or import paths.,Deepens domestic U.S. market-access restrictions beyond the original Covered List.,The new rules prohibit the authorization of equipment through the FCC’s Certification process ... The Covered List currently includes communications equipment produced by Huawei Technologies.,True,True,0.98,checked,,
HW_E14,CASE_HUAWEI_001,SRC_BIS_20230418_SEAGATE,2023-04-18 00:00:00,day,BIS penalizes Seagate for shipments to Huawei under the FDP rule,BIS imposed a $300 million civil penalty on Seagate for hard-disk-drive shipments to Huawei in violation of the Huawei FDP rule.,enforcement_penalty,enforcement_action,BIS,Seagate,Huawei,semiconductor,compliance_enforcement_risk,Shows that Huawei-related FDP obligations can result in major downstream enforcement against third-party suppliers.,Transforms abstract control risk into realized enforcement exposure.,BIS imposed a $300 million civil penalty against Seagate ... to resolve alleged violations of U.S. export controls related to selling hard disk drives to Huawei in violation of the foreign direct product rule.,True,False,0.99,checked,,
SM_E01,CASE_SMIC_001,SRC_SMIC_20201222_EL,2020-12-22 00:00:00,day,SMIC and related affiliates added to the Entity List,"BIS added SMIC and related affiliates to the Entity List, with a presumption of denial for items uniquely required to produce chips at 10nm and below.",entity_list_addition,entity_list_addition,BIS / ERC,SMIC,,semiconductor,technology_access_risk,Limits SMIC’s ability to acquire U.S.-regulated technology and imposes a particularly severe review policy for advanced-node production items.,Creates a firm-specific anchor for later ecosystem-wide semiconductor controls.,The Entity List designation limits SMIC's ability to acquire certain U.S. technology ... Items uniquely required to produce semiconductors at advanced technology nodes 10 nanometers or below will be subject to a presumption of denial.,True,True,0.99,checked,,
SM_E02,CASE_SMIC_001,SRC_ADV_20221013_AC,2022-10-13 00:00:00,day,October 2022 advanced-computing and semiconductor-manufacturing controls issued,"BIS introduced a broad control package targeting advanced computing items, semiconductor manufacturing items, and related supercomputer and semiconductor end uses for China.",export_control_rule,license_restriction,BIS,PRC advanced-computing and fab ecosystem,,advanced_computing,technology_access_risk,"Pushes controls beyond named firms toward technology classes, end uses, and fabrication capabilities.",Amplifies fabrication and supply-chain risk for PRC advanced-node actors including SMIC-relevant ecosystems.,This rule expands the scope of licensing requirements for 28 existing entities on the Entity List located in the PRC and imposes additional export controls on advanced computing and semiconductor manufacturing items.,True,True,0.99,checked,,
SM_E03,CASE_SMIC_001,SRC_ADV_20221219_EL,2022-12-19 00:00:00,day,December 2022 Entity List action broadens pressure on PRC chip ecosystem,"BIS added 36 entities to the Entity List and made conforming removals from the UVL, extending pressure across additional PRC chip-sector actors.",entity_list_addition,screening_list_update,BIS / ERC,PRC chip ecosystem,,semiconductor,supply_chain_disruption_risk,Adds more PRC semiconductor ecosystem actors to a stricter licensing environment.,Signals that compliance risk is spreading beyond one firm to a broader network of counterparties.,The Department of Commerce is amending the EAR by adding thirty-six entities to the Entity List ... This rule also revises three entries on the Entity List under the destination of China.,False,False,0.98,checked,,
SM_E04,CASE_SMIC_001,SRC_ADV_20231025_SME,2023-10-25 00:00:00,day,2023 semiconductor-manufacturing-items rule updates sector controls,"BIS updated semiconductor-manufacturing-item controls as part of the October 2023 package, refining restrictions relevant to PRC fab capacity and equipment access.",export_control_rule,license_restriction,BIS,PRC semiconductor manufacturing ecosystem,,equipment,technology_access_risk,Refines the control perimeter for semiconductor manufacturing items and supporting equipment.,Raises process-specific compliance complexity for fabs and suppliers.,"BIS updates the SME controls through publication of this SME IFR ... Together, these IFRs advance the U.S. national security objectives identified above.",True,False,0.98,checked,,
SM_E05,CASE_SMIC_001,SRC_ADV_20231025_ACS,2023-10-25 00:00:00,day,2023 advanced-computing update rule revises October 2022 framework,"BIS updated and corrected the October 2022 advanced-computing rule package, affecting advanced chip and supercomputer controls relevant to PRC fabs and their customers.",export_control_rule,license_restriction,BIS,PRC advanced-computing ecosystem,,advanced_computing,technology_access_risk,"Refreshes thresholds, scope, and clarifications for advanced-computing controls tied to China.","Extends firm-level risk into customer, design, and compute ecosystem interactions.","On October 17, 2023, BIS released two interim final rules ... including AC/S IFR ... updating the controls released on October 7, 2022.",True,False,0.98,checked,,
SM_E06,CASE_SMIC_001,SRC_ADV_20240404_CORR,2024-04-04 00:00:00,day,April 2024 rule adds corrections and clarifications to the 2023 package,"BIS issued corrections and clarifications to the October 2023 control package, affecting interpretation and compliance boundaries.",export_control_rule,license_restriction,BIS,PRC semiconductor ecosystem,,semiconductor,compliance_enforcement_risk,Changes how firms operationalize control boundaries and compliance interpretation.,Maintains uncertainty and transaction-screening burden even without a new headline restriction category.,This rule corrects inadvertent errors contained in these rules and makes additional clarifications.,False,False,0.97,checked,,
SM_E07,CASE_SMIC_001,SRC_ADV_20241205_140,2024-12-05 00:00:00,day,December 2024 140-entity action tightens semiconductor ecosystem controls,"BIS added 140 entities to the Entity List and modified multiple entries, deepening restrictions across the semiconductor ecosystem.",entity_list_addition,entity_list_addition,BIS / ERC,PRC semiconductor ecosystem,,semiconductor,supply_chain_disruption_risk,Expands entity-level restrictions across a broad semiconductor network and raises partner-screening risk.,Represents another step from single-firm controls toward ecosystem-wide denial and screening pressure.,"In this final rule, BIS amends the EAR by adding 140 entities to the Entity List.",True,True,0.99,checked,,
ADV_E01,CASE_ADVCTRL_001,SRC_ADV_20221013_AC,2022-10-13 00:00:00,day,October 2022 BIS advanced-computing and semiconductor-manufacturing rule issued,"BIS issued the October 2022 control package targeting advanced computing items, semiconductor manufacturing items, supercomputer end uses, and related Entity List modifications.",export_control_rule,license_restriction,BIS,PRC advanced-computing ecosystem,,advanced_computing,technology_access_risk,"Introduces a new control architecture organized around advanced chips, supercomputing, and fabrication capability.","Creates the central policy anchor for subsequent update, correction, and escalation events.",Implementation of Additional Export Controls: Certain Advanced Computing and Semiconductor Manufacturing Items; Supercomputer and Semiconductor End Use; Entity List Modification.,True,True,0.99,checked,,
ADV_E02,CASE_ADVCTRL_001,SRC_ADV_20221013_UVL,2022-10-13 00:00:00,day,Thirty-one PRC entities added to the UVL,BIS added 31 PRC entities to the Unverified List because end-use checks could not be completed satisfactorily.,entity_list_addition,screening_list_update,BIS,31 PRC entities,,advanced_computing,compliance_enforcement_risk,Introduces additional red-flag and due-diligence burdens short of full Entity List restrictions.,Creates an intermediate escalation step between ordinary trade and Entity List controls.,The Bureau of Industry and Security is amending the EAR by adding 31 persons to the Unverified List ... because an end-use check could not be completed satisfactorily.,False,True,0.99,checked,,
ADV_E03,CASE_ADVCTRL_001,SRC_ADV_20221219_EL,2022-12-19 00:00:00,day,December 2022 rule escalates part of the ecosystem from UVL concerns to Entity List restrictions,"BIS added 36 entities to the Entity List and removed related entries from the UVL, escalating compliance exposure from verification problems to formal denial-risk screening.",entity_list_addition,entity_list_addition,BIS / ERC,PRC chip ecosystem,,advanced_computing,compliance_enforcement_risk,Converts part of the ecosystem from enhanced diligence to strict licensing requirements.,Demonstrates a policy path from unresolved verification concerns to formal entity-level restriction.,This rule also revises three entries on the Entity List under the destination of China and makes conforming removal from the Unverified List.,True,True,0.99,checked,,
ADV_E04,CASE_ADVCTRL_001,SRC_ADV_20231025_SME,2023-10-25 00:00:00,day,October 2023 SME interim final rule updates manufacturing-item controls,BIS updated the October 2022 controls specifically for semiconductor manufacturing items.,export_control_rule,license_restriction,BIS,PRC semiconductor manufacturing ecosystem,,equipment,technology_access_risk,Refines restrictions on equipment and manufacturing items used in advanced chip production.,Sharpens technology-access and process-equipment risk across the ecosystem.,BIS updates the SME controls through publication of this SME IFR while publishing elsewhere in this issue a separate IFR.,True,False,0.98,checked,,
ADV_E05,CASE_ADVCTRL_001,SRC_ADV_20231025_ACS,2023-10-25 00:00:00,day,October 2023 AC/S interim final rule updates advanced-computing controls,"BIS updated the October 2022 advanced-computing package for chips, supercomputer end use, and related control definitions and corrections.",export_control_rule,license_restriction,BIS,PRC advanced-computing ecosystem,,advanced_computing,technology_access_risk,"Updates thresholds, definitions, and controls for advanced-computing items and related end uses.",Serves as the main update branch later clarified again in April 2024.,"This IFR was published in the Federal Register on October 13, 2022 ... BIS imposed these new controls to protect U.S. national security and is updating them here.",True,False,0.98,checked,,
ADV_E06,CASE_ADVCTRL_001,SRC_ADV_20240404_CORR,2024-04-04 00:00:00,day,April 2024 rule corrects and clarifies the October 2023 package,BIS issued a further rule to correct inadvertent errors and add clarifications to the October 2023 updates.,export_control_rule,license_restriction,BIS,PRC advanced-computing ecosystem,,advanced_computing,compliance_enforcement_risk,Changes how firms interpret and implement October 2023 controls in practice.,Shows that operational compliance risk persists even in “correction” rounds.,This rule corrects inadvertent errors contained in these rules and makes additional clarifications.,False,False,0.97,checked,,
ADV_E07,CASE_ADVCTRL_001,SRC_ADV_20240503_FAR,2024-05-03 00:00:00,day,FAR Council begins rulemaking on covered semiconductor products and services,The FAR Council began rulemaking to implement Section 5949 restrictions on covered semiconductor products and services in federal procurement.,procurement_ban,procurement_ban,FAR Council,Covered semiconductor products and services,,semiconductor,market_access_risk,Adds a procurement and contractor-screening dimension to semiconductor security controls.,Extends control logic from export licensing into federal acquisition and supply-chain governance.,Require contractors to conduct a reasonable inquiry to detect and avoid the use or inclusion of covered semiconductor products or services in electronic products and electronic services.,True,False,0.98,checked,,
ADV_E08,CASE_ADVCTRL_001,SRC_ADV_20241205_140,2024-12-05 00:00:00,day,December 2024 BIS 140-entity action deepens ecosystem-wide restrictions,"BIS added 140 entities to the Entity List and modified multiple entries, tightening controls across the semiconductor and advanced-computing ecosystem.",entity_list_addition,entity_list_addition,BIS / ERC,PRC semiconductor and advanced-computing ecosystem,,semiconductor,supply_chain_disruption_risk,"Greatly increases screening, licensing, and transaction-risk burdens across the ecosystem.",Represents a large-scale ecosystem tightening rather than isolated case-by-case action.,"In this final rule, BIS amends the EAR by adding 140 entities to the Entity List.",True,True,0.99,checked,,
ADV_E09,CASE_ADVCTRL_001,SRC_ADV_20241205_FDP,2024-12-05 00:00:00,day,December 2024 companion IFR adds HBM controls and new FDP refinements,"BIS paired the December 2024 Entity List expansion with a companion IFR that added high-bandwidth-memory controls, revised advanced-node DRAM criteria, and created new FDP rules tied to advanced-node IC production.",export_control_rule,fdp_rule_update,BIS,PRC advanced-node IC and HBM ecosystem,,advanced_computing,technology_access_risk,"Deepens technical controls beyond entity listings by targeting HBM, advanced-node DRAM definitions, and foreign-produced items tied to advanced-node IC production.",Raises both technology-access and fabrication-compliance risk for PRC advanced-computing and memory-fab ecosystems.,"BIS states that the IFR adds HBM controls, creates new FDP rules for advanced-node IC production, and refines controls on advanced computing and semiconductor manufacturing items.",True,False,0.94,checked,,
YMTC_E01,CASE_YMTC_001,SRC_ADV_20221013_UVL,2022-10-13 00:00:00,day,YMTC added to the Unverified List,"BIS added YMTC to the Unverified List because an end-use check could not be completed satisfactorily, making YMTC part of the October 2022 verification-risk tightening against 31 PRC persons.",entity_list_addition,screening_list_update,BIS,YMTC,,semiconductor,compliance_enforcement_risk,Creates unresolved end-use verification risk and elevates screening friction for transactions involving YMTC.,Creates a pathway for later escalation if the verification problem is not resolved.,"BIS added 31 PRC persons to the UVL because end-use checks could not be completed satisfactorily; the list explicitly included Yangtze Memory Technologies Co., Ltd.",True,True,0.96,checked,,
YMTC_E02,CASE_YMTC_001,SRC_ADV_20221219_EL,2022-12-19 00:00:00,day,YMTC moved from UVL pressure to the Entity List,"BIS added YMTC to the Entity List, citing significant national security and foreign-policy concerns, and removed YMTC from the UVL for consistency.",entity_list_addition,entity_list_addition,BIS / ERC,YMTC,,semiconductor,technology_access_risk,Transforms verification risk into formal Entity List restrictions with a presumption-of-denial posture.,"Hardens downstream supply, tooling, and compliance risk for YMTC-linked chains.","The December 2022 rule added Yangtze Memory Technologies Co., Ltd. to the Entity List and removed it from the UVL for consistency.",True,True,0.98,checked,,
YMTC_E03,CASE_YMTC_001,SRC_ADV_20241205_FDP,2024-12-05 00:00:00,day,December 2024 BIS refinements tighten HBM and advanced-node memory controls,BIS added HBM controls and revised advanced-node DRAM criteria in December 2024 to prevent workarounds and reduce the risk that U.S. technology contributes to PRC advanced-node IC production.,export_control_rule,license_restriction,BIS,PRC memory-fab and HBM ecosystem,,semiconductor,technology_access_risk,"Tightens controls on advanced-memory-relevant items, including HBM and advanced-node DRAM-related definitions.",Increases the likelihood that PRC memory-fab actors face narrowed access and higher compliance burdens even without a new entity-specific listing.,The December 2024 IFR added HBM controls and revised advanced-node DRAM criteria to prevent future workarounds and reduce the risk that U.S. technology contributes to PRC advanced-node IC production.,True,False,0.92,checked,,
YMTC_E04,CASE_YMTC_001,SRC_COV_20260217_PROP,2026-02-17 00:00:00,day,Proposed FAR rule names YMTC and CXMT as covered semiconductor sources,"The FAR Council proposed a rule that defines covered semiconductor products or services to include those designed, produced, or provided by CXMT or YMTC, extending the consequences of tech-security restrictions into federal procurement and supply-chain disclosure.",procurement_ban,procurement_ban,FAR Council / OFPP / DoD / GSA / NASA,YMTC / CXMT-linked semiconductor supply chains,,semiconductor,market_access_risk,Introduces federal procurement-exclusion risk for products or services tied to YMTC and CXMT ahead of the December 2027 effective date.,"Broadens the consequence space from export licensing into procurement screening, disclosure, and remediation obligations.","The February 2026 proposed FAR rule defines covered semiconductor products or services to include those designed, produced, or provided by ChangXin Memory Technologies or Yangtze Memory Technologies Corp.",True,True,0.97,checked,,
COV_E01,CASE_COVSEM_001,SRC_COV_20240503_ANPR,2024-05-03 00:00:00,day,FAR Council begins covered-semiconductor rulemaking,"DoD, GSA, and NASA issued an ANPR to implement Section 5949, beginning formal rulemaking on procurement restrictions for electronic products and services that include covered semiconductor products or services effective December 23, 2027.",procurement_ban,procurement_ban,DoD / GSA / NASA,Covered semiconductor products and services,,semiconductor,market_access_risk,"Signals that covered semiconductors will become a federal procurement and sourcing problem, not just an export-control issue.",Pushes contractors and suppliers to assess future exposure before a final procurement regime is in place.,"The May 2024 ANPR states that Section 5949 prohibits executive agencies from procuring or obtaining certain products and services that include covered semiconductor products or services effective December 23, 2027.",True,True,0.95,checked,,
COV_E02,CASE_COVSEM_001,SRC_COV_20240626_EXT,2024-06-26 00:00:00,day,Covered-semiconductor ANPR comment period extended,"The FAR Council extended the comment period for the covered-semiconductor ANPR to August 2, 2024, giving industry additional time to respond and signaling continuing rule development.",investigation_hearing,procurement_ban,DoD / GSA / NASA,Covered semiconductor products and services,,semiconductor,compliance_enforcement_risk,Extends the consultation window and confirms that implementation questions remain active in rulemaking.,Keeps procurement-risk planning live for contractors and semiconductor supply-chain participants.,"The June 2024 notice extended the comment period for the May 2024 ANPR from July 2, 2024 to August 2, 2024.",False,False,0.9,checked,,
COV_E03,CASE_COVSEM_001,SRC_COV_20260217_PROP,2026-02-17 00:00:00,day,FAR Council proposes covered-semiconductor procurement prohibition,"The FAR Council proposed amendments to the FAR to implement Section 5949, including a procurement prohibition effective December 23, 2027 for covered semiconductor products or services, absent an exception or waiver.",procurement_ban,procurement_ban,FAR Council / OFPP / DoD / GSA / NASA,Covered semiconductor products and services,,semiconductor,market_access_risk,Turns the earlier ANPR into a concrete proposed procurement prohibition with operative contract language and timelines.,Creates direct federal market-access risk for covered semiconductor products and downstream systems using them in critical systems.,"The February 2026 proposed rule would prohibit agencies, on or after December 23, 2027, from procuring or obtaining electronic products or services that include covered semiconductor products or services.",True,True,0.97,checked,,
COV_E04,CASE_COVSEM_001,SRC_COV_20260217_PROP,2026-02-17 00:00:00,day,"Proposed FAR rule explicitly names SMIC, CXMT, and YMTC in covered-source definition","The proposed rule operationalizes the prohibition by defining covered semiconductor products or services to include those designed, produced, or provided by SMIC, CXMT, or YMTC and their subsidiaries, affiliates, or successors.",procurement_ban,procurement_ban,FAR Council / OFPP / DoD / GSA / NASA,SMIC / CXMT / YMTC,,semiconductor,market_access_risk,Sharpens vendor-screening obligations by tying the rule to specific named Chinese semiconductor producers.,Amplifies supplier-traceability and sourcing risk for contractors that rely on products linked to those entities.,"The proposed rule defines covered semiconductor products or services to include those designed, produced, or provided by SMIC, and by CXMT or YMTC.",True,True,0.98,checked,,
COV_E05,CASE_COVSEM_001,SRC_COV_20260217_PROP,2026-02-17 00:00:00,day,Proposed FAR rule adds rapid reporting and non-federal disclosure duties,"The proposed rule pairs the prohibition with 72-hour government reporting for suspected covered semiconductors after December 23, 2027 and requires certain semiconductor covered entities to disclose covered content to non-federal customers.",procurement_ban,enforcement_action,FAR Council / OFPP / DoD / GSA / NASA,Federal contractors and semiconductor covered entities,,semiconductor,compliance_enforcement_risk,"Converts the covered-semiconductor issue into an ongoing reporting, disclosure, and remediation obligation for contractors.",Raises downstream compliance and corrective-action exposure even when a product reaches the market outside direct federal sales.,"The proposed rule requires 72-hour reporting after December 23, 2027 for covered semiconductor discoveries and disclosure to non-federal customers by semiconductor covered entities.",True,False,0.96,checked,,
ADV_E10,CASE_ADVCTRL_001,SRC_ADV_20250115_AIDIFF,2025-01-15 00:00:00,day,AI Diffusion rule creates worldwide licensing framework for advanced-computing IC clusters,"BIS issued the AI Diffusion framework, imposing a worldwide regional stability license requirement for advanced-computing ICs and building authorization pathways for secure ecosystems and approved end users.",export_control_rule,license_restriction,BIS,Advanced-computing IC clusters and AI-capable end users,,advanced_computing,technology_access_risk,Extends the control logic from destination-specific restrictions toward a global governance framework for frontier AI compute diffusion.,Changes risk from simple destination blocking to tiered ecosystem governance and compliance screening for large compute deployments.,The AI Diffusion IFR imposed a worldwide RS license requirement for advanced-computing ICs and created exceptions and pathways to authorization for low-risk transactions.,True,True,0.97,checked,,
ADV_E11,CASE_ADVCTRL_001,SRC_ADV_20250116_DD,2025-01-16 00:00:00,day,BIS adds foundry and OSAT due-diligence measures for advanced-computing ICs,"BIS concluded that existing Entity List entries, Red Flag guidance, and technical guidance were not enough for foundries and OSATs to definitively determine whether chips met 3A090 thresholds, so it added due-diligence procedures and clarifications.",export_control_rule,license_restriction,BIS,Foundries and OSATs in advanced IC supply chains,,advanced_computing,compliance_enforcement_risk,Turns technical export-control rules into operational screening obligations for manufacturing and packaging actors in the chip supply chain.,"Raises transaction-screening, customer-identification, and recordkeeping burdens for foundries and OSATs handling advanced IC designs.","BIS assessed that existing Entity List entries, Red Flag requirements and technical guidance had not fully ensured that foundries could definitively determine whether ICs met ECCN 3A090 parameters.",True,False,0.97,checked,,
ADV_E12,CASE_ADVCTRL_001,SRC_FND_20250116_EL,2025-01-16 00:00:00,day,Foundry Entity List action adds 16 entities tied to advanced IC support and Huawei diversion risk,"BIS added 16 entities in China and Singapore to the Entity List, including Sophgo-linked organizations, citing support for advanced computing IC development and risk of diversion to Huawei.",entity_list_addition,entity_list_addition,BIS,Sophgo-linked and associated foundry ecosystem entities,Huawei,advanced_computing,technology_access_risk,Moves from general technical tightening to targeted enforcement against entities tied to advanced IC production and diversion risk.,"Signals that foundry-side and design-side circumvention risks can trigger direct Entity List action, not just broader technical controls.","BIS added 16 entities because they supported advanced computing IC development and posed a risk of diversion to Huawei, with footnote 4 designations for their role.",True,True,0.98,checked,,
ADV_E13,CASE_ADVCTRL_001,SRC_ADV_20250214_CORR,2025-02-14 00:00:00,day,BIS corrects ECCN 3A090 license requirement after January 2025 due-diligence IFR,"BIS issued a correcting amendment to revise the ECCN 3A090 license requirement table, clarifying that regional stability controls apply to 3A090.a and that worldwide license requirements attach to certain 3A090.a items.",export_control_rule,license_restriction,BIS,ECCN 3A090.a items and exporters,,advanced_computing,compliance_enforcement_risk,Prevents misinterpretation of the January 2025 rule and stabilizes the legal basis for compliance treatment of 3A090.a items.,Reduces ambiguity but also confirms that exporters must treat certain 3A090.a items as subject to worldwide licensing requirements.,The correction revised ECCN 3A090 to state that RS applies to 3A090.a and explained the worldwide license requirement for certain 3A090.a items.,False,False,0.95,checked,,
ADV_E14,CASE_ADVCTRL_001,SRC_ADV_20260115_LRP,2026-01-15 00:00:00,day,BIS shifts some commercially available advanced chips to case-by-case review for China and Macau,"BIS revised the license review policy for certain semiconductors such as Nvidia H200-class products and equivalents from presumption of denial to case-by-case review, subject to supply, security, and testing conditions.",license_restriction,license_review_policy_adjustment,BIS,Certain commercially available advanced-computing commodities to China and Macau,,advanced_computing,technology_access_risk,Introduces a calibrated licensing channel without abandoning the broader advanced-computing control regime.,"Adds a more conditional and evidence-heavy path for exports, making compliance hinge on capacity, security, and third-party verification claims.",BIS changed the policy from presumption of denial to case-by-case review for certain commercially available semiconductors to China and Macau under specified conditions.,True,True,0.93,checked,,
