query_id,case_id,query_text,query_type,time_scope,target_actor,target_risk_dimension,gold_answer,gold_rationale,gold_uncertainty_label,gold_path_id,difficulty_level,split,annotation_status
Q_ADV_04,CASE_ADVCTRL_001,What changed between the October 2022 rule and the October 2023 update package?,timeline_reasoning,2022-10 to 2023-10,BIS / PRC advanced-computing ecosystem,technology_access_risk,The October 2023 package updated the 2022 framework through separate SME and AC/S interim final rules that refined manufacturing-item controls and advanced-computing/supercomputer controls.,"The question is about framework evolution, not just a single new restriction.",certain,ADV_P04,medium,test,checked
Q_ADV_05,CASE_ADVCTRL_001,Why does the April 2024 correction rule still matter even though it is framed as a clarification?,impact_analysis,2023-10 to 2024-04,BIS / PRC advanced-computing ecosystem,compliance_enforcement_risk,"Because clarifications alter operational interpretation and can change screening, classification, and licensing behavior, thereby affecting real compliance risk.",Clarification rounds still change the effective control environment for firms.,certain,ADV_P05,medium,train,checked
Q_ADV_06,CASE_ADVCTRL_001,What new market-access signal is created when federal procurement restrictions are added to export controls?,impact_analysis,2023-10 to 2024-05,Covered semiconductor products and services,market_access_risk,"It signals that control logic has moved beyond export licensing into procurement governance, meaning suppliers may face exclusion not only from cross-border trade but also from federal acquisition channels.",This captures a cross-regime spillover from export control to procurement screening.,certain,ADV_P06,hard,train,checked
Q_ADV_07,CASE_ADVCTRL_001,Why does the December 2024 140-entity action indicate ecosystem-level tightening rather than case-by-case control?,policy_escalation_reasoning,2022-12 to 2024-12,PRC semiconductor ecosystem,supply_chain_disruption_risk,"Because the scale and breadth of the 140-entity action show that the policy focus has shifted toward broad ecosystem disruption and screening, not just isolated individual designations.",The path ties together earlier Entity List escalation and the late-2024 scale-up.,certain,ADV_P07,hard,train,checked
Q_ADV_08,CASE_ADVCTRL_001,"If unresolved UVL concerns had not escalated into Entity List action, would overall compliance risk likely have been lower?",counterfactual_risk,2022-10 to 2022-12,PRC chip ecosystem,compliance_enforcement_risk,"Likely yes. UVL status creates heightened due diligence and transaction friction, but Entity List status typically imposes stricter licensing burdens and stronger denial risk.",This counterfactual rests on the policy difference between UVL friction and Entity List restriction severity.,partially_supported,ADV_P08,hard,test,checked
Q_ADV_09,CASE_ADVCTRL_001,What additional technical tightening accompanied the December 2024 140-entity action beyond simply adding more entities?,impact_analysis,2024-12,PRC advanced-computing ecosystem,technology_access_risk,"BIS paired the 140-entity action with a companion IFR that added HBM controls, revised advanced-node DRAM criteria, and created new FDP refinements tied to advanced-node IC production.",The key point is that December 2024 was not only a list-expansion event; it also tightened the technical control architecture around advanced-node IC production.,certain,ADV_P09,hard,train,checked
Q_ADV_10,CASE_ADVCTRL_001,"Why did the December 2024 package matter for advanced-node memory and HBM risk, not just entity-list growth?",cause_tracing,2024-12,PRC advanced-computing ecosystem,technology_access_risk,"Because the December 2024 companion IFR specifically added HBM controls and revised advanced-node DRAM criteria, the package tightened memory-relevant controls alongside the entity-list expansion.",This answer requires connecting the entity-list rule with the companion technical-control rule in the same policy package.,certain,ADV_P10,hard,dev,checked
Q_YM_01,CASE_YMTC_001,What immediate compliance signal did the October 2022 UVL action send for YMTC-related transactions?,risk_identification,2022-10,YMTC,compliance_enforcement_risk,"It signaled unresolved end-use verification risk: BIS had been unable to complete a satisfactory end-use check, so YMTC became a flagged screening party even before full Entity List escalation.",The answer stays at the UVL stage and does not overstate it as a full denial regime.,certain,YMTC_P01,easy,dev,checked
Q_YM_02,CASE_YMTC_001,Why was the December 2022 action against YMTC more severe than the October 2022 UVL listing?,policy_escalation_reasoning,2022-10 to 2022-12,YMTC,technology_access_risk,"Because BIS moved YMTC from a verification-based UVL status to the Entity List and removed it from the UVL, turning unresolved verification risk into formal Entity List restrictions.",This is a direct escalation question from UVL status to Entity List status.,certain,YMTC_P02,medium,train,checked
Q_YM_03,CASE_YMTC_001,How did the December 2024 HBM and advanced-node memory refinements deepen risk for PRC memory-fab actors?,impact_analysis,2024-12,PRC memory-fab ecosystem,technology_access_risk,They tightened access to advanced-memory-relevant items by adding HBM controls and revising advanced-node DRAM criteria to close workarounds around PRC advanced-node IC production.,The answer is ecosystem-level rather than entity-specific and should be framed as deeper technical-control risk.,certain,YMTC_P03,hard,test,checked
Q_YM_04,CASE_YMTC_001,What new downstream consequence does the February 2026 proposed FAR rule create for YMTC-related semiconductors?,impact_analysis,2026-02,YMTC,market_access_risk,It creates federal procurement-exclusion risk by treating products or services tied to YMTC (and CXMT) as covered semiconductor products or services under the proposed FAR rule.,This moves the consequence from export licensing into federal acquisition and sourcing risk.,certain,YMTC_P04,medium,test,checked
Q_YM_05,CASE_YMTC_001,How does the YMTC chain illustrate movement from verification risk to procurement exclusion risk?,cause_tracing,2022-10 to 2026-02,YMTC,market_access_risk,"The chain begins with unresolved end-use verification risk on the UVL, escalates to Entity List restrictions in December 2022, and later culminates in a proposed procurement-side exclusion once YMTC is explicitly named in the covered-semiconductor rule.","This is the end-to-end narrative path for YMTC across screening, export control, and procurement regimes.",certain,YMTC_P05,hard,train,checked
Q_COV_01,CASE_COVSEM_001,What procurement risk was introduced by the May 2024 covered-semiconductor ANPR?,risk_identification,2024-05,Covered semiconductor supply chain,market_access_risk,The ANPR introduced the prospect that federal agencies would be prohibited from procuring products or services that include covered semiconductor products or services beginning in December 2027.,"The answer is about the regulatory signal and future market-access risk, not yet a final rule.",certain,COV_P01,easy,train,checked
Q_COV_02,CASE_COVSEM_001,Why is the February 2026 proposed FAR rule more concrete than the 2024 ANPR?,policy_escalation_reasoning,2024-05 to 2026-02,Covered semiconductor supply chain,market_access_risk,"Because the 2026 proposal turns the earlier ANPR into specific FAR text, operational timelines, and defined prohibitions rather than just exploratory rulemaking questions.",This is a rulemaking-escalation question from ANPR to proposed rule.,certain,COV_P02,medium,train,checked
Q_COV_03,CASE_COVSEM_001,Which semiconductor sources are explicitly named in the February 2026 proposed covered-semiconductor rule?,timeline_reasoning,2026-02,SMIC / CXMT / YMTC,market_access_risk,"The proposed definition explicitly names SMIC, CXMT, and YMTC, along with their subsidiaries, affiliates, or successors, as covered semiconductor sources.",The question is factual but still anchored in the policy-escalation chain.,certain,COV_P03,easy,test,checked
Q_COV_04,CASE_COVSEM_001,What compliance obligation accompanies the procurement prohibition in the February 2026 proposal?,impact_analysis,2026-02 onward,Federal contractors,compliance_enforcement_risk,"The proposal adds rapid reporting to the Government and disclosure duties to non-federal customers, turning covered-semiconductor exposure into an ongoing compliance obligation rather than a one-time sourcing screen.","The answer should mention both reporting and disclosure, not just the procurement ban itself.",certain,COV_P04,medium,test,checked
Q_COV_05,CASE_COVSEM_001,How does the covered-semiconductor chain extend tech-security risk from export controls into procurement governance?,cause_tracing,2024-05 to 2026-02,Covered semiconductor supply chain,market_access_risk,"It shifts the issue from export-control restrictions on specific actors into supply-chain governance by prohibiting covered semiconductors in federal procurement, naming covered sources, and imposing disclosure/reporting duties.","The chain matters because it expands the policy consequence from licensing to procurement, traceability, and corrective-action risk.",certain,COV_P05,hard,dev,checked
Q_ADV_11,CASE_ADVCTRL_001,How did the January 2025 AI Diffusion rule extend the logic of earlier advanced-computing controls beyond destination-specific restrictions?,policy_escalation_reasoning,2024-12 to 2025-01,BIS,technology_access_risk,"It transformed the control logic from mainly destination-specific denial into a worldwide licensing and secure-ecosystem framework for advanced-computing IC clusters, while still preserving heightened concern for destinations and end users of concern.",A good answer should connect the December 2024 technical tightening to the January 2025 move toward global compute-governance rather than treating AI diffusion as a separate topic.,certain,ADV_P11,hard,test,checked
Q_ADV_12,CASE_ADVCTRL_001,Why did BIS impose additional due-diligence measures on foundries and OSATs in January 2025?,cause_tracing,2024-12 to 2025-01,Foundries / OSATs,compliance_enforcement_risk,"Because BIS concluded that existing Entity List entries, Red Flag guidance, and technical guidance had not fully ensured that foundries and related actors could determine whether chips met ECCN 3A090 thresholds, making additional diligence necessary.","The answer should mention threshold-determination failure, not just say ""to increase compliance.""",certain,ADV_P12,medium,train,checked
Q_ADV_13,CASE_ADVCTRL_001,What distinguished the January 2025 Foundry Entity List action from the December 2024 140-entity expansion?,risk_identification,2024-12 to 2025-01,Sophgo-linked entities / Huawei,technology_access_risk,"Unlike the broad December 2024 ecosystem-wide tightening, the January 2025 action directly targeted a foundry/design-linked set of entities and explicitly cited diversion risk to Huawei and support for advanced computing IC development.","The distinction is targeted foundry-side enforcement plus Huawei diversion risk, not just another round of names added to the list.",certain,ADV_P13,medium,test,checked
Q_ADV_14,CASE_ADVCTRL_001,What compliance problem was the February 2025 correction trying to prevent after the January 2025 due-diligence IFR?,timeline_reasoning,2025-01 to 2025-02,Exporters handling 3A090.a items,compliance_enforcement_risk,It sought to prevent misapplication of the ECCN 3A090 license requirement by clarifying that regional stability controls apply to 3A090.a and that certain 3A090.a items are subject to worldwide license requirements.,"The answer should focus on license-table ambiguity and downstream compliance treatment, not merely say ""a typo was fixed.""",certain,ADV_P14,medium,dev,checked
Q_ADV_15,CASE_ADVCTRL_001,Does the January 2026 case-by-case review policy mean BIS abandoned earlier advanced-chip controls?,counterfactual_risk,2025-01 to 2026-01,Commercially available advanced chips to China/Macau,technology_access_risk,"No. The January 2026 rule is a constrained recalibration inside the existing control architecture: it opens a narrow case-by-case path only when exporters satisfy supply, foundry-capacity, security, and third-party testing conditions.",A strong answer should explicitly reject the idea of wholesale rollback and emphasize conditional recalibration.,certain,ADV_P15,hard,train,checked
Q_YM_06,CASE_YMTC_001,How does the January 2025 AI Diffusion framework reinforce the significance of December 2024 HBM controls for memory-linked AI supply chains?,policy_escalation_reasoning,2024-12 to 2025-01,BIS / memory-linked AI ecosystem,technology_access_risk,"It embeds HBM into a broader global framework for governing advanced-computing IC clusters, showing that memory bandwidth is treated as a structural component of frontier AI capability rather than an isolated technical refinement.",The answer should connect HBM to AI clusters and global diffusion controls.,certain,YMTC_P06,hard,train,checked
Q_YM_07,CASE_YMTC_001,What new compliance exposure arises once YMTC naming is paired with reporting and disclosure duties in the February 2026 proposed FAR rule?,impact_analysis,2026-02 onward,Federal contractors / semiconductor covered entities,compliance_enforcement_risk,"Risk expands from sourcing prohibition to ongoing compliance: contractors and covered entities may need to report suspected covered semiconductors within 72 hours and disclose covered content to non-federal customers, creating remediation and traceability obligations.","The answer should mention both reporting and disclosure, not just procurement exclusion.",certain,YMTC_P07,medium,dev,checked
Q_YM_08,CASE_YMTC_001,"If YMTC had remained only a verification concern rather than progressing to procurement-linked obligations, how would downstream risk differ?",counterfactual_risk,2022-10 to 2026-02,YMTC,market_access_risk,"Downstream risk would likely have been narrower and more transaction-specific; procurement-linked obligations broaden the consequence into federal market exclusion, contractor reporting, customer disclosure, and corrective-action exposure across supply chains.",This counterfactual should distinguish early verification/compliance uncertainty from later procurement and disclosure risk.,partially_supported,YMTC_P08,hard,test,checked
Q_FND_01,CASE_FOUNDRY_001,Why did BIS conclude additional due diligence for foundries and OSATs was necessary in January 2025?,cause_tracing,2024-12 to 2025-01,Foundries / OSATs,compliance_enforcement_risk,"Because BIS found that existing Entity List entries, Red Flag requirements, and technical guidance had not fully ensured that foundries could determine whether chips met advanced-computing control thresholds, especially for applicable advanced logic ICs.",The core reason is threshold-determination failure in the foundry supply chain.,certain,FND_P01,medium,train,checked
Q_FND_02,CASE_FOUNDRY_001,What made the January 2025 Foundry Entity List action especially relevant to Huawei-related diversion risk?,risk_identification,2025-01,Sophgo-linked entities / Huawei,technology_access_risk,"The rule explicitly linked the added entities to both support for advanced-computing IC development and risk of diversion to Huawei, turning a general compliance concern into targeted enforcement against a concrete diversion pathway.","The answer should mention both advanced-IC support and Huawei diversion, not only one of them.",certain,FND_P02,medium,train,checked
Q_FND_03,CASE_FOUNDRY_001,How do AI Diffusion controls and foundry due-diligence measures work together in the foundry compliance chain?,policy_escalation_reasoning,2025-01,Advanced-computing foundry ecosystem,compliance_enforcement_risk,"AI Diffusion globalizes the licensing logic for advanced-computing IC clusters, while the due-diligence IFR operationalizes that logic inside manufacturing and packaging workflows by forcing foundries and OSATs to screen designs, customers, and threshold compliance more carefully.","The two rules should be explained as complementary: one defines the outer control architecture, the other imposes internal operational diligence.",certain,FND_P03,hard,train,checked
Q_FND_04,CASE_FOUNDRY_001,What problem did the February 2025 correction resolve after the January due-diligence IFR?,timeline_reasoning,2025-01 to 2025-02,Exporters / foundries handling 3A090.a items,compliance_enforcement_risk,"It corrected the ECCN 3A090 license table so that parties would apply the intended worldwide license treatment to 3A090.a items, preventing misclassification and inconsistent downstream compliance decisions.","The answer should focus on rule clarity and license treatment, not just ""administrative clean-up.""",certain,FND_P04,medium,dev,checked
Q_FND_05,CASE_FOUNDRY_001,Does the January 2026 case-by-case rule weaken or reframe the earlier foundry-focused control logic?,counterfactual_risk,2025-01 to 2026-01,Commercially available advanced chips to China/Macau,technology_access_risk,"It mainly reframes rather than weakens the earlier logic: BIS keeps the architecture of supply, foundry-capacity, security, and testing concerns, but allows a narrow case-by-case review path for certain commercially available chips under those conditions.","A strong answer should say the new rule is a conditional recalibration, not a simple rollback.",certain,FND_P05,hard,test,checked
Q_CX_01,CASE_CXMT_001,What strategic technology-access signal did the December 2024 HBM controls create for the CXMT-linked memory ecosystem?,risk_identification,2024-12,CXMT / PRC memory ecosystem,technology_access_risk,"The December 2024 HBM controls signaled that advanced memory capacity and bandwidth had become a strategic choke point for frontier AI and supercomputing, increasing technology-access risk for memory-linked Chinese supply chains such as those around CXMT.","A strong answer should explain why HBM matters for frontier AI capability, not just say that ""memory was controlled"".",certain,CX_P01,medium,dev,checked
Q_CX_02,CASE_CXMT_001,"Why does the January 2025 DoD notice naming CXMT matter for later procurement risk, even though it is not a BIS Entity List rule?",cause_tracing,2025-01 to 2026-02,CXMT,compliance_enforcement_risk,"Because the DoD notice adds a formal federal security-screening signal around CXMT that can strengthen diligence, screening, and policy justification before procurement rules later name CXMT as a covered semiconductor source.","The answer should stress cross-agency security signaling, not confuse the notice with direct EAR licensing.",certain,CX_P02,hard,test,checked
Q_CX_03,CASE_CXMT_001,How did procurement risk evolve from the May 2024 FAR ANPR to the February 2026 proposed rule for CXMT-linked sources?,policy_escalation_reasoning,2024-05 to 2026-02,CXMT,market_access_risk,"Risk evolved from general rulemaking about covered semiconductor procurement in May 2024 to an explicit February 2026 proposed rule that names CXMT as a covered source, making federal market exclusion much more concrete.",The answer should connect generic procurement architecture to later named-source targeting.,certain,CX_P03,medium,train,checked
Q_CX_04,CASE_CXMT_001,What sequence turned CXMT from a memory-related security concern into a named covered semiconductor source?,timeline_reasoning,2024-12 to 2026-02,CXMT,market_access_risk,"The sequence runs from December 2024 HBM controls, to the January 2025 DoD military-company notice naming CXMT, to the February 2026 FAR proposed rule that explicitly names CXMT in the covered-source definition.",A correct answer should preserve both ordering and the shift from export-control context to procurement exclusion.,certain,CX_P04,hard,test,checked
Q_CX_05,CASE_CXMT_001,What additional compliance burden appears once CXMT naming is paired with reporting and disclosure obligations in February 2026?,impact_analysis,2026-02 onward,Federal contractors / semiconductor covered entities,compliance_enforcement_risk,Risk expands from sourcing prohibition to operational compliance: contractors may need to report suspected covered semiconductors within 72 hours and some covered entities may need to disclose covered content to non-federal customers.,The answer should mention both reporting and disclosure obligations.,certain,CX_P05,medium,train,checked
Q_CX_06,CASE_CXMT_001,"If CXMT had not been expressly named in the covered-source definition, how would downstream federal procurement risk differ?",counterfactual_risk,2025-01 to 2026-02,CXMT,market_access_risk,"Downstream risk would likely be less explicit and more interpretive. Contractors might still view CXMT as sensitive because of HBM controls and the DoD notice, but procurement exclusion and compliance obligations would be less concrete without explicit naming.",This counterfactual should distinguish between broad security concern and explicit covered-source treatment.,partially_supported,CX_P06,hard,test,checked
Q_COV_06,CASE_COVSEM_001,Why is the January 2025 DoD notice naming CXMT relevant to later covered-semiconductor procurement screening?,cause_tracing,2025-01 to 2026-02,CXMT,compliance_enforcement_risk,It adds another federal security-screening signal that helps frame why a later procurement rule would explicitly name CXMT as a covered semiconductor source and require downstream diligence.,The answer should emphasize screening relevance rather than treat the notice as a direct procurement ban.,certain,COV_P06,medium,train,checked
Q_COV_07,CASE_COVSEM_001,How do the February 2026 proposed exceptions change the operational meaning of the covered semiconductor prohibition?,impact_analysis,2026-02 onward,Federal contractors and agencies,supply_chain_disruption_risk,"They make the prohibition operationally phased rather than instantly absolute by allowing continued use of certain existing equipment until December 23, 2027 and a limited no-alternative-source exception for some commercial products until December 23, 2028.","The answer should describe transition management, not claim the prohibition disappeared.",certain,COV_P07,medium,dev,checked
Q_COV_08,CASE_COVSEM_001,Do the phased exceptions in the February 2026 proposed FAR rule eliminate procurement compliance risk for covered semiconductors?,counterfactual_risk,2026-02 onward,Federal contractors and agencies,compliance_enforcement_risk,"No. They soften immediate disruption, but contractors still face naming-based sourcing risk, reporting/disclosure duties, and a defined transition deadline that preserves long-run compliance pressure.",A strong answer should distinguish mitigation of disruption from elimination of compliance burden.,certain,COV_P08,hard,test,checked
Q_SM_09,CASE_SMIC_001,What does the September 2025 GMC/Jicun action reveal about downstream anti-diversion enforcement around SMIC?,risk_identification,2025-09,SMIC-related supply chain,compliance_enforcement_risk,It shows that SMIC-related restrictions can propagate into enforcement against intermediary firms that acquire U.S.-origin semiconductor manufacturing equipment for SMIC-listed fabs without authorization.,The answer should explicitly mention intermediaries and unauthorized procurement for listed fabs.,certain,SM_P09,medium,test,checked
Q_SM_10,CASE_SMIC_001,Why is the September 2025 NetForward action more than a single-company penalty in the SMIC control story?,impact_analysis,2025-09,NetForward entities / SMIC-related ecosystem,compliance_enforcement_risk,"Because it signals a broader anti-circumvention posture around listed semiconductor parties, extending risk from direct suppliers to firms associated with diversion pathways and export-control evasion.",The answer should frame the action as ecosystem-level anti-circumvention enforcement.,certain,SM_P10,medium,train,checked
Q_SM_11,CASE_SMIC_001,How do the 2023–2024 sectoral semiconductor controls help explain the 2025 diversion case tied to SMIC parties?,policy_escalation_reasoning,2023-10 to 2025-09,SMIC / PRC fabs,technology_access_risk,"The 2023–2024 controls refined restrictions on semiconductor manufacturing equipment and widened ecosystem pressure, which helps explain why later BIS enforcement focused on unauthorized equipment procurement for SMIC-listed fabs.",The answer should link sector-wide manufacturing controls to later firm-linked diversion enforcement.,certain,SM_P11,hard,test,checked
Q_SM_12,CASE_SMIC_001,"If SMIC had remained only a named-firm restriction without follow-on diversion enforcement, how would risk characterization differ?",counterfactual_risk,2020-12 to 2025-09,SMIC,compliance_enforcement_risk,"Risk would look more concentrated on direct licensing and named-firm controls. The September 2025 actions show that risk has expanded into intermediary procurement, circumvention detection, and downstream compliance exposure across the ecosystem.",This counterfactual should contrast direct-firm restrictions with later networked enforcement risk.,partially_supported,SM_P12,hard,test,checked
Q_ADV_16,CASE_ADVCTRL_001,What does the September 2025 Entity List enforcement wave show about the persistence of anti-diversion logic after the January 2025 rule package?,impact_analysis,2025-01 to 2025-09,BIS / semiconductor ecosystem,compliance_enforcement_risk,"It shows that BIS still viewed actor-specific anti-diversion enforcement as necessary after the January 2025 AI-diffusion, due-diligence, and foundry actions, meaning technical rules alone did not end enforcement pressure.",The answer should emphasize continuity rather than a new unrelated campaign.,certain,ADV_P16,medium,dev,checked
Q_ADV_17,CASE_ADVCTRL_001,How does the September 2025 action complement rather than replace the advanced-computing control framework?,policy_escalation_reasoning,2025-01 to 2025-09,Advanced-computing control framework,compliance_enforcement_risk,"It complements the framework by extending its anti-diversion logic into concrete Entity List actions against additional ecosystem actors, rather than replacing the technical control architecture itself.",The answer should distinguish enforcement layering from policy replacement.,certain,ADV_P17,medium,test,checked
Q_ADV_18,CASE_ADVCTRL_001,Does later diversion enforcement imply the 2024–2025 rule refinements were insufficient on their own?,counterfactual_risk,2024-12 to 2025-09,BIS / advanced-computing ecosystem,compliance_enforcement_risk,"Partly yes: the later actions suggest that even after significant rule refinements, BIS still saw a need for actor-specific anti-diversion enforcement. That does not mean the rules failed, but it does mean they were not self-executing against all diversion risk.","A strong answer should say ""not self-executing"" rather than simply ""failed"".",partially_supported,ADV_P18,hard,dev,checked
